Accession,PC1,PC2
CSA085,-38.0695795030301,56.787346157279
CSA086,-5.19180749546251,-48.7491926576708
CSA087,96.2313239831699,49.0086714666784
CSA088,17.9018421841077,58.629586288547
CSA089,97.2178359499478,46.6775178093027
CSA090,-40.5530997009581,36.0092367213789
CSA092,-28.6796237951068,25.3866285427348
CSA093,82.3226747303846,42.4883943205343
CSA094,-84.8613398233729,-75.3874775377355
CSA095,66.3444217023658,29.0540901296286
CSA096,84.494363717469,16.6697035699097
CSA098,44.1487841585494,-23.3801941680862
CSA099,-117.531329476011,2.83203038933567
CSA101,99.6786139422908,39.3981924280074
CSA102,87.3284701022588,40.224448084575
CSA103,-34.0688258949665,-68.6456443594522
CSA104,-206.889934967446,90.3824070431985
CSA105,-66.2704931826686,-76.0939070058369
CSA107,-81.3511883470157,-119.999023094501
CSA108,94.5030978526253,48.0968937932075
CSA109,53.299578368065,-13.7356920119265
CSA110,98.5910291805333,55.9036206183881
CSA112,92.2159717193789,33.1020230236764
CSA114,80.6870792072067,11.561493484758
CSA115,87.0489564095864,35.7868663701472
CSA116,83.4085365283584,23.0947911733609
CSA117,73.4066209731538,17.9037634834685
CSA118,33.6457911916547,-40.5616542305397
CSA119,-12.6909858070213,-94.1793699675901
CSA120,-57.4474068512293,45.2844136655086
CSA121,-146.524687867768,12.3404150552437
CSA122,-37.2598622159476,58.7231739537408
CSA123,82.7287025650259,28.9033108564513
CSA125,-35.7720180396249,-89.5901246715201
CSA126,-77.1219657569725,-135.834762766026
CSA127,31.5418494967447,-4.593032331564
CSA128,72.1543939483545,13.8510403132634
CSA129,-49.2368876506248,-52.2860324141926
CSA131,41.8890655093688,-6.2335021268476
CSA132,106.236906725387,69.9672310156569
CSA133,63.0421620530524,14.5418221050128
CSA134,-26.7037311874222,-74.4969633381918
CSA136,-36.7748401745052,54.4024232578828
CSA137,-11.3665161225428,-66.476575641451
CSA138,-34.592887552927,-93.2041747889715
CSA139,19.3287806907244,-20.1001061470239
CSA140,17.8503845850439,-21.1378055864945
CSA141,-20.6754684848992,-99.1918411984422
CSA142,25.5288588787825,-45.1623337043595
CSA143,6.21308715105735,-59.9786324588266
CSA144,-27.8255370674193,-61.8022443346111
CSA145,-206.449362651532,91.6708960104908
CSA146,71.7661387741279,4.4584201069527
CSA147,-74.8123285263752,80.1520791551648
CSA148,-207.183096061122,90.2124389177445
CSA149,-72.1290626688557,44.7733014688857
CSA151,-206.274188553402,91.4938101038342
CSA152,-138.371914757827,55.3290536253048
CSA153,65.366475008929,10.1598311710602
CSA154,52.0016191579546,8.27192018409374
CSA156,81.4900586380997,10.1248730659745
CSA157,-206.638162916076,92.2622542453257
CSA158,88.4759453176718,31.7409611323957
CSA159,99.5843867207294,56.1971742307453
CSA160,-24.9431419237625,-100.826011221396
CSA162,72.2564091053033,21.2904912811562
CSA163,-62.258261056551,79.1266193576975
CSA164,101.529393752859,37.1650093021306
CSA165,-127.144859673651,33.3300439496401
CSA166,46.2297524503653,13.7386770759934
CSA167,-13.9406885482444,-88.0915701918705
CSA168,68.7744303357116,-9.82114562098639
CSA170,17.9521568719774,-52.4712198714573
CSA171,69.7893122044446,3.91113329635634
CSA172,-30.9671032737856,-75.0881962979773
CSA173,79.2303045565217,17.7198934891375
CSA174,-0.776997467018798,-41.0833106100199
CSA175,91.9402424654212,37.5700994354376
CSA176,-2.83587672234666,-25.539852692442
CSA177,-75.6041627691602,-75.0397944188547
CSA178,113.184943760387,59.0106139748637
CSA179,49.087485789079,2.53708812171187
CSA180,51.0654470563795,0.836690183841285
CSA181,121.267688872699,74.2845233754453
CSA182,92.2804946748317,25.8999930424473
CSA183,14.6352486157917,-2.8455014981608
CSA184,92.1027543892371,47.1883699578823
